COLCT_DE,COUNTRY_CD,CHNNEL_NM,ARTS_NM,Community_KEY_W,KWRD_FQ_CO,FILE_NM,BASE_DE
2017-01,VN,community,blackpink,blackpink,13
2017-01,VN,community,blackpink,youtube,7
2017-01,VN,community,blackpink,bts,6
2017-01,VN,community,blackpink,bigbang,5
2017-01,VN,community,blackpink,clc,4
2017-01,VN,community,blackpink,seohyun,4
2017-01,VN,community,blackpink,insta,2
2017-01,VN,community,blackpink,mbc,2
2017-01,VN,community,bts,bts,69
2017-01,VN,community,bts,youtube,22
2017-01,VN,community,bts,mbc,15
2017-01,VN,community,bts,awards,6
2017-01,VN,community,bts,bangtan,6
2017-01,VN,community,bts,btstwt,6
2017-01,VN,community,bts,blackpink,5
2017-01,VN,community,bts,amp,4
2017-01,VN,community,bts,bigbang,4
2017-01,VN,community,bts,btsbighit,4
2017-01,VN,community,bts,clc,4
2017-01,VN,community,bts,fancam,4
2017-01,VN,community,bts,seohyun,4
2017-01,VN,community,bts,가요대제전,4
2017-01,VN,community,bts,jimin,3
2017-01,VN,community,bts,music,3
2017-01,VN,community,bts,drama,2
2017-01,VN,community,bts,jungkook,2
2017-01,VN,community,bts,kpop,2
2017-01,VN,community,bts,performance,2
2017-01,VN,community,bts,twice,2
2017-01,VN,community,bts,vixx,2
2017-01,VN,community,bts,방탄,2
2017-01,VN,community,bts,정국,2
2017-01,VN,community,everglow,ygofficialblink,16
2017-01,VN,community,everglow,blackpink,7
2017-01,VN,community,exo,exo,3
2017-01,VN,community,exo,bts,2
2017-01,VN,community,exo,fancam,2
2017-01,VN,community,exo,youtube,2
2017-01,VN,community,exo,blackpink,1
2017-01,VN,community,exo,몬스터,1
2017-01,VN,community,exo,엑소,1
2017-01,VN,community,got7,jackson,51
2017-01,VN,community,got7,youtube,26
2017-01,VN,community,got7,music,11
2017-01,VN,community,got7,amp,6
2017-01,VN,community,got7,bambam,5
2017-01,VN,community,jhope,jhope,7
2017-01,VN,community,mamamoo,amp,2
2017-01,VN,community,mamamoo,mamamoo,2
2017-01,VN,community,mamamoo,seohyun,2
2017-01,VN,community,nct,nct,2
2017-01,VN,community,seventeen,youtube,6
2017-01,VN,community,seventeen,seventeen,3
2017-01,VN,community,seventeen,bts,2
2017-02,VN,community,blackpink,jinyoung,4
2017-02,VN,community,blackpink,jisoo,4
2017-02,VN,community,bts,bts,84
2017-02,VN,community,bts,youtube,20
2017-02,VN,community,bts,album,9
2017-02,VN,community,bts,comeback,8
2017-02,VN,community,bts,mbc,7
